id,value,date
1420,13,2017-04-02
1420,13.6,2017-04-03
1420,11.7,2017-04-04
1420,11.2,2017-04-05
1420,9.3,2017-04-06
1420,8.8,2017-04-07
1420,11.2,2017-04-08
1420,12.8,2017-04-09
1420,11.8,2017-04-10
1420,9.1,2017-04-11
1420,11.8,2017-04-12
1420,11.7,2017-04-13
1420,10.6,2017-04-14
1420,10,2017-04-15
1420,8.1,2017-04-16
1420,6,2017-04-17
1420,5.6,2017-04-18
1420,4.3,2017-04-19
1420,5.2,2017-04-20
1420,9.5,2017-04-21
1420,10.4,2017-04-22
1420,7.2,2017-04-23
1420,8.2,2017-04-24
1420,7.8,2017-04-25
1420,8.3,2017-04-26
1420,7.7,2017-04-27
1420,8.3,2017-04-28
1420,10.3,2017-04-29
1420,12.7,2017-04-30
1420,9.7,2017-05-01
1420,8.7,2017-05-02
1420,9.7,2017-05-03
1420,11.1,2017-05-04
1420,11.2,2017-05-05
1420,14.8,2017-05-06
1420,13.5,2017-05-07
1420,10,2017-05-08
1420,9.4,2017-05-09
1420,11,2017-05-10
1420,15.5,2017-05-11
1420,15.7,2017-05-12
1420,16.7,2017-05-13
1420,16.2,2017-05-14
1420,15.9,2017-05-15
1420,18.2,2017-05-16
1420,21.8,2017-05-17
1420,19.1,2017-05-18
1420,14,2017-05-19
1420,12.3,2017-05-20
1420,14.7,2017-05-21
1420,17.8,2017-05-22
1420,19.8,2017-05-23
1420,17.1,2017-05-24
1420,18.5,2017-05-25
1420,20.1,2017-05-26
1420,22.6,2017-05-27
1420,23.7,2017-05-28
1420,25,2017-05-29
1420,21.3,2017-05-30
1420,19.1,2017-05-31
1420,21,2017-06-01
1420,22.3,2017-06-02
1420,20.1,2017-06-03
1420,17.7,2017-06-04
1420,16.8,2017-06-05
1420,14.8,2017-06-06
1420,14,2017-06-07
1420,16.3,2017-06-08
1420,17.2,2017-06-09
1420,17.3,2017-06-10
1420,21.9,2017-06-11
1420,20.9,2017-06-12
1420,17.5,2017-06-13
1420,20.2,2017-06-14
1420,23.1,2017-06-15
1420,19.7,2017-06-16
1420,17.5,2017-06-17
1420,21.8,2017-06-18
1420,23.9,2017-06-19
1420,26.2,2017-06-20
1420,26.2,2017-06-21
1420,25.4,2017-06-22
1420,23.6,2017-06-23
1420,20.5,2017-06-24
1420,20.9,2017-06-25
1420,22.6,2017-06-26
1420,22.2,2017-06-27
1420,20.7,2017-06-28
1420,17.7,2017-06-29
1420,18.3,2017-06-30
1420,16.3,2017-07-01
1420,17.5,2017-07-02
1420,18.7,2017-07-03
1420,21.1,2017-07-04
1420,24.1,2017-07-05
1420,23.4,2017-07-06
1420,24.2,2017-07-07
1420,24.2,2017-07-08
1420,24.3,2017-07-09
1420,21.4,2017-07-10
1420,20,2017-07-11
1420,17.1,2017-07-12
1420,16.2,2017-07-13
1420,17.5,2017-07-14
1420,16.3,2017-07-15
1420,19,2017-07-16
1420,22.1,2017-07-17
1420,24.1,2017-07-18
1420,26.2,2017-07-19
1420,21.3,2017-07-20
1420,22.6,2017-07-21
1420,21.2,2017-07-22
1420,19.4,2017-07-23
1420,15.8,2017-07-24
1420,14.8,2017-07-25
1420,17.8,2017-07-26
1420,18.7,2017-07-27
1420,18.7,2017-07-28
1420,21.9,2017-07-29
1420,22.4,2017-07-30
1420,22.3,2017-07-31
1420,21.6,2017-08-01
1420,22.5,2017-08-02
1420,22.5,2017-08-03
1420,21.4,2017-08-04
1420,19.9,2017-08-05
1420,17.9,2017-08-06
1420,19.8,2017-08-07
1420,19.1,2017-08-08
1420,18.7,2017-08-09
1420,15.5,2017-08-10
1420,14.7,2017-08-11
1420,15.4,2017-08-12
1420,19.2,2017-08-13
1420,20.7,2017-08-14
1420,19.8,2017-08-15
1420,21.1,2017-08-16
1420,21.5,2017-08-17
1420,19.3,2017-08-18
1420,16.5,2017-08-19
1420,14.9,2017-08-20
1420,16.4,2017-08-21
1420,18,2017-08-22
1420,19.9,2017-08-23
1420,19.6,2017-08-24
1420,20.3,2017-08-25
1420,21.3,2017-08-26
1420,20.7,2017-08-27
1420,21.2,2017-08-28
1420,22.5,2017-08-29
1420,23.2,2017-08-30
1420,17.9,2017-08-31
1420,15.4,2017-09-01
1420,14.5,2017-09-02
1420,13.3,2017-09-03
1420,15.7,2017-09-04
1420,19.3,2017-09-05
1420,18.2,2017-09-06
1420,16,2017-09-07
1420,16.3,2017-09-08
1420,15.6,2017-09-09
1420,13.4,2017-09-10
1420,14.5,2017-09-11
1420,14.2,2017-09-12
1420,13.9,2017-09-13
1420,11.9,2017-09-14
1420,11.4,2017-09-15
1420,9.5,2017-09-16
1420,10.2,2017-09-17
1420,10.4,2017-09-18
1420,11.3,2017-09-19
1420,11.2,2017-09-20
1420,11.6,2017-09-21
1420,13.2,2017-09-22
1420,14.1,2017-09-23
1420,14.9,2017-09-24
1420,14.3,2017-09-25
1420,15.1,2017-09-26
1420,15,2017-09-27
1420,16.2,2017-09-28
1420,18,2017-09-29
1420,15.8,2017-09-30
1420,11.1,2017-10-01
1420,13.2,2017-10-02
1420,12.7,2017-10-03
1420,11.4,2017-10-04
1420,12.7,2017-10-05
1420,9.8,2017-10-06
1420,11.1,2017-10-07
1420,12.7,2017-10-08
1420,11.4,2017-10-09
1420,12.5,2017-10-10
1420,14,2017-10-11
1420,14.3,2017-10-12
1420,14.2,2017-10-13
1420,14.9,2017-10-14
1420,11.3,2017-10-15
1420,12.7,2017-10-16
1420,12.5,2017-10-17
1420,11.7,2017-10-18
1420,12.9,2017-10-19
1420,12,2017-10-20
1420,11.3,2017-10-21
1420,9.7,2017-10-22
1420,10.2,2017-10-23
1420,12.4,2017-10-24
1420,14.5,2017-10-25
1420,11.6,2017-10-26
1420,11.9,2017-10-27
1420,9.4,2017-10-28
1420,10.4,2017-10-29
1420,6.8,2017-10-30
1420,5.4,2017-10-31
1420,8.9,2017-11-01
1420,9.1,2017-11-02
1420,6.7,2017-11-03
1420,7.4,2017-11-04
1420,8.3,2017-11-05
1420,5.6,2017-11-06
1420,6.5,2017-11-07
1420,7.7,2017-11-08
1420,7.8,2017-11-09
1420,6.2,2017-11-10
1420,5.7,2017-11-11
1420,4,2017-11-12
1420,5,2017-11-13
1420,3.3,2017-11-14
1420,4.6,2017-11-15
1420,3.9,2017-11-16
1420,4.1,2017-11-17
1420,4.9,2017-11-18
1420,5.6,2017-11-19
1420,4,2017-11-20
1420,8.3,2017-11-21
1420,8.1,2017-11-22
1420,8.3,2017-11-23
1420,11.3,2017-11-24
1420,6.2,2017-11-25
1420,3.5,2017-11-26
1420,4.3,2017-11-27
1420,4.4,2017-11-28
1420,2.6,2017-11-29
1420,1.7,2017-11-30
1420,0.2,2017-12-01
1420,-1.3,2017-12-02
1420,-0.8,2017-12-03
1420,2.3,2017-12-04
1420,5,2017-12-05
1420,5.2,2017-12-06
1420,3.7,2017-12-07
1420,3.8,2017-12-08
1420,1.2,2017-12-09
1420,1,2017-12-10
1420,6.7,2017-12-11
1420,3.7,2017-12-12
1420,2.5,2017-12-13
1420,4.9,2017-12-14
1420,2.8,2017-12-15
1420,2.8,2017-12-16
1420,2.5,2017-12-17
1420,1.3,2017-12-18
1420,2.5,2017-12-19
1420,4,2017-12-20
1420,6,2017-12-21
1420,7.2,2017-12-22
1420,7.6,2017-12-23
1420,8.3,2017-12-24
1420,5.1,2017-12-25
1420,3.4,2017-12-26
1420,4.4,2017-12-27
1420,3.1,2017-12-28
1420,0.9,2017-12-29
1420,6.4,2017-12-30
1420,12.4,2017-12-31
1420,8.1,2018-01-01
1420,6.4,2018-01-02
1420,8.1,2018-01-03
1420,7.6,2018-01-04
1420,8.5,2018-01-05
1420,7.6,2018-01-06
1420,5,2018-01-07
1420,5,2018-01-08
1420,5.5,2018-01-09
1420,7.2,2018-01-10
1420,6.4,2018-01-11
1420,6.1,2018-01-12
1420,5.1,2018-01-13
1420,2.7,2018-01-14
1420,2.2,2018-01-15
1420,6.8,2018-01-16
1420,3.7,2018-01-17
1420,6,2018-01-18
1420,3.4,2018-01-19
1420,1.6,2018-01-20
1420,2.4,2018-01-21
1420,2.8,2018-01-22
1420,6.9,2018-01-23
1420,9.7,2018-01-24
1420,9.5,2018-01-25
1420,7.1,2018-01-26
1420,3.2,2018-01-27
1420,7.2,2018-01-28
1420,9.6,2018-01-29
1420,5.5,2018-01-30
1420,7.6,2018-01-31
1420,3.5,2018-02-01
1420,2.2,2018-02-02
1420,2.2,2018-02-03
1420,0.4,2018-02-04
1420,0.4,2018-02-05
1420,0,2018-02-06
1420,0.3,2018-02-07
1420,-1,2018-02-08
1420,-1,2018-02-09
1420,1.5,2018-02-10
1420,2.3,2018-02-11
1420,1.4,2018-02-12
1420,-0.3,2018-02-13
1420,-0.2,2018-02-14
1420,0.6,2018-02-15
1420,2.3,2018-02-16
1420,1.2,2018-02-17
1420,0.9,2018-02-18
1420,0.7,2018-02-19
1420,1.2,2018-02-20
1420,1.9,2018-02-21
1420,0.8,2018-02-22
1420,-0.6,2018-02-23
1420,-1.1,2018-02-24
1420,-3.2,2018-02-25
1420,-4.7,2018-02-26
1420,-5.7,2018-02-27
1420,-6.3,2018-02-28
1420,-2.9,2018-03-01
1420,-2.4,2018-03-02
1420,-0.6,2018-03-03
1420,4.9,2018-03-04
1420,7.2,2018-03-05
1420,5,2018-03-06
1420,6.1,2018-03-07
1420,6.4,2018-03-08
1420,5.3,2018-03-09
1420,9.8,2018-03-10
1420,10.4,2018-03-11
1420,10.2,2018-03-12
1420,8.2,2018-03-13
1420,6.9,2018-03-14
1420,7.1,2018-03-15
1420,7,2018-03-16
1420,-1,2018-03-17
1420,-2.4,2018-03-18
1420,-1,2018-03-19
1420,-1,2018-03-20
1420,1.6,2018-03-21
1420,1.2,2018-03-22
1420,4.7,2018-03-23
1420,5.8,2018-03-24
1420,6.6,2018-03-25
1420,7.7,2018-03-26
1420,5.9,2018-03-27
1420,8.3,2018-03-28
1420,6.7,2018-03-29
1420,7.7,2018-03-30
1420,9.6,2018-03-31
1420,8.1,2018-04-01
1420,8.9,2018-04-02
1420,14.1,2018-04-03
1420,11.5,2018-04-04
1420,8.8,2018-04-05
1420,7.7,2018-04-06
1420,13.7,2018-04-07
1420,16.2,2018-04-08
1420,15.7,2018-04-09
1420,13.8,2018-04-10
1420,12.4,2018-04-11
1420,15.6,2018-04-12
1420,10.1,2018-04-13
1420,12.6,2018-04-14
1420,15.6,2018-04-15
1420,15.2,2018-04-16
1420,15.4,2018-04-17
1420,18.4,2018-04-18
1420,20.1,2018-04-19
1420,19.8,2018-04-20
1420,19.4,2018-04-21
1420,20.9,2018-04-22
1420,17.8,2018-04-23
1420,14.5,2018-04-24
1420,13.8,2018-04-25
1420,11.4,2018-04-26
1420,12.1,2018-04-27
1420,13.8,2018-04-28
1420,16.7,2018-04-29
1420,14.5,2018-04-30
1420,9.1,2018-05-01
1420,10.4,2018-05-02
1420,13.9,2018-05-03
1420,15.8,2018-05-04
1420,17.4,2018-05-05
1420,19,2018-05-06
1420,19.9,2018-05-07
1420,20.5,2018-05-08
1420,20.8,2018-05-09
1420,14.9,2018-05-10
1420,15.1,2018-05-11
1420,19.3,2018-05-12
1420,18.3,2018-05-13
1420,18.1,2018-05-14
1420,17.7,2018-05-15
1420,15.9,2018-05-16
1420,14.9,2018-05-17
1420,12.3,2018-05-18
1420,14.3,2018-05-19
1420,17.2,2018-05-20
1420,20.4,2018-05-21
1420,19,2018-05-22
1420,17.8,2018-05-23
1420,18.9,2018-05-24
1420,20.2,2018-05-25
1420,22.6,2018-05-26
1420,23.2,2018-05-27
1420,25.1,2018-05-28
1420,23.8,2018-05-29
1420,23.4,2018-05-30
1420,24.3,2018-05-31
1420,20.1,2018-06-01
1420,19.6,2018-06-02
1420,21.5,2018-06-03
1420,24.2,2018-06-04
1420,23.3,2018-06-05
1420,24,2018-06-06
1420,23.3,2018-06-07
1420,23.2,2018-06-08
1420,22.8,2018-06-09
1420,23.1,2018-06-10
1420,21,2018-06-11
1420,16.7,2018-06-12
1420,15.6,2018-06-13
1420,17.4,2018-06-14
1420,18.8,2018-06-15
1420,20.9,2018-06-16
1420,19.5,2018-06-17
1420,19,2018-06-18
1420,20.1,2018-06-19
1420,23.8,2018-06-20
1420,19.3,2018-06-21
1420,13.9,2018-06-22
1420,14.2,2018-06-23
1420,16.7,2018-06-24
1420,18.4,2018-06-25
1420,20.3,2018-06-26
1420,21.6,2018-06-27
1420,23.1,2018-06-28
1420,25.6,2018-06-29
1420,24.5,2018-06-30
1420,21.6,2018-07-01
1420,22.1,2018-07-02
1420,23.1,2018-07-03
1420,22.2,2018-07-04
1420,21.3,2018-07-05
1420,22.8,2018-07-06
